epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2801536023616791,4.252471923828125,1e-04,0.3433314859867096,5.513139247894287
1,0.3474602997303009,3.4797720909118652,1e-04,0.4221540093421936,3.0803167819976807
2,0.38338279724121094,2.9331014156341553,1e-04,0.4520089328289032,2.581265687942505
3,0.4153604507446289,2.5157952308654785,1e-04,0.4737723171710968,2.2536346912384033
4,0.44587188959121704,2.192293643951416,1e-04,0.5,1.956097960472107
5,0.46950602531433105,1.9551997184753418,1e-04,0.5182756781578064,1.7695835828781128
6,0.4933147132396698,1.7753139734268188,1e-04,0.5385044813156128,1.598384141921997
7,0.51450514793396,1.6244773864746094,1e-04,0.5474330186843872,1.493816614151001
8,0.530424177646637,1.5184537172317505,1e-04,0.5551060438156128,1.4405720233917236
9,0.5478792190551758,1.427767038345337,1e-04,0.5598493218421936,1.3611918687820435
10,0.5609356164932251,1.358018159866333,1e-04,0.5750557780265808,1.310552716255188
11,0.5767149329185486,1.2949204444885254,1e-04,0.5786830186843872,1.2980424165725708
12,0.5862104892730713,1.253782868385315,1e-04,0.5973772406578064,1.2305843830108643
13,0.5998952984809875,1.2062768936157227,1e-04,0.6064453125,1.184509515762329
14,0.609041690826416,1.178852915763855,1e-04,0.6100725531578064,1.1716357469558716
15,0.6209460496902466,1.1353925466537476,1e-04,0.6068638563156128,1.1790798902511597
16,0.6257985830307007,1.1070679426193237,1e-04,0.6178850531578064,1.150189757347107
17,0.635189414024353,1.0858936309814453,1e-04,0.607421875,1.1586310863494873
18,0.6463257074356079,1.0554126501083374,1e-04,0.6279296875,1.1112664937973022
19,0.6528189778327942,1.028781533241272,1e-04,0.6304408311843872,1.1196602582931519
